URL,title,snippet
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000suODAAY,Course Detail(E005i : Ethics & Professionalism: Relevance of Ethics Pronouncement 100 to Professional Accountants),Course Detail(E005i : Ethics & Professionalism: Relevance of Ethics Pronouncement 100 to Professional Accountants)                                                                                                                                              .site-header .inverted {                    
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000002kynNAAQ,Course Detail(E016i : Ethics Pronouncement 200: An Overview (E-Learning)),Course Detail(E016i : Ethics Pronouncement 200: An Overview (E-Learning))                                                                                                                                              .site-header .inverted {                     position: fixed !important;             
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDTAA4,Course Detail(E135v : Business Ethics – Real World Applications – Recommended Solutions (Live Webinar)),Course Detail(E135v : Business Ethics – Real World Applications – Recommended Solutions (Live Webinar))                                                                                                                                              .site-header .inverted {                     position: 
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001ogh8AAA,Course Detail(E177v : EP 100 in Guiding Accountants’ Ethics (Live Webinar)),Course Detail(E177v : EP 100 in Guiding Accountants’ Ethics (Live Webinar))                                                                                                                                              .site-header .inverted {                     position: fixed !important;           
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001pHaJAAU,Course Detail(E179v : Ethics and Financial Reporting Standards (FRSs) Updates for Finance Professionals (Live Webinar)),Course Detail(E179v : Ethics and Financial Reporting Standards (FRSs) Updates for Finance Professionals (Live Webinar))                                                                                                                                              .site-header .inverted {               
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTBnAAO&_ga=2.248357319.1748540460.1614043824-1659275873.1614043824,Course Detail(BF178v : Fraud Risk Management for the Public Sector (Live Webinar)),Course Detail(BF178v : Fraud Risk Management for the Public Sector (Live Webinar))                                                                                                                                              .site-header .inverted {                     position: fixed !important;    
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001oXhJAAU&_ga=2.131039686.832403418.1660638536-1807543175.1656313267,Course Detail(E176v : Is your mental health affecting your “going concern”? – Accountants’ mental health and its implications on Ethics (Live Webinar)),Course Detail(E176v : Is your mental health affecting your “going concern”? – Accountants’ mental health and its implications on Ethics (Live Webinar))                                                                                                                                              .site-h
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001oWOzAAM&_ga=2.210392151.311317385.1632105673-279476387.1612148388,Course Detail(E175v : Managing Ethical Challenges in Grant Governance (Live Webinar)),Course Detail(E175v : Managing Ethical Challenges in Grant Governance (Live Webinar))                                                                                                                                              .site-header .inverted {                     position: fixed !important; 
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTByAAO&_ga=2.267902990.1626425500.1670914557-1149870743.1670913560,Course Detail(BF149v : Public Financial Management & Procurement: Contemporary Issues & Audit Findings (Live Webinar)),Course Detail(BF149v : Public Financial Management & Procurement: Contemporary Issues & Audit Findings (Live Webinar))                                                                                                                                              .site-header .inverted {                
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a50d&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TP4PAAW,Course Detail(BF006i : Corporate Governance and Control),Course Detail(BF006i : Corporate Governance and Control)                                                                                                                                              .site-header .inverted {                     position: fixed !important;                     top: 0 !i
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTD2AAO,Course Detail(E061v : Accounting Ethics: Understanding & Detecting Creative Accounting Practices (Live Webinar)),Course Detail(E061v : Accounting Ethics: Understanding & Detecting Creative Accounting Practices (Live Webinar))                                                                                                                                              .site-header .inverted {                     p
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDOAA4,Course Detail(E125v : Ethical Dilemmas in Government Procurement (Synchronous e-learning)),Course Detail(E125v : Ethical Dilemmas in Government Procurement (Synchronous e-learning))                                                                                                                                              .site-header .inverted {                     position: fixed !import
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTCjAAO,Course Detail(E168v : Law and Ethics of Fraud for Company Insiders (Live Webinar)),Course Detail(E168v : Law and Ethics of Fraud for Company Insiders (Live Webinar))                                                                                                                                              .site-header .inverted {                     position: fixed !important;    
https://academy.smu.edu.sg/graduate-certificate-digital-finance-module-5-digital-forensics-1976,Digital Finance Module 5: Digital Forensics | SMU Academy,"<iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-P2K7ZX6""                   height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe>                                                                                                                                               "
https://academy.smu.edu.sg/graduate-certificate-digital-finance-module-6-managing-expanding-cyber-risks-1981,Digital Finance Module 6: Managing Expanding Cyber Risks | SMU Academy,"<iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-P2K7ZX6""                   height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe>                                                                                                                                               "
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a40b&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a608&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDDAA4,Course Detail(E103v : Corrupt Practices in Commercial and Public Sectors: How to identify and manage them (Live Webinar)),Course Detail(E103v : Corrupt Practices in Commercial and Public Sectors: How to identify and manage them (Live Webinar))                                                                                                                                              .site-header .inverted {             
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTDEAA4,Course Detail(E108v : Ethical and Legal Issues in Procurements and Contractual Agreements (Live Webinar)),Course Detail(E108v : Ethical and Legal Issues in Procurements and Contractual Agreements (Live Webinar))                                                                                                                                              .site-header .inverted {                     position
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000001syUjAAI&_ga=2.138414198.430155284.1739723664-975892733.1738335351,Course Detail(BM018E : Strategic Approach to Operational Risk Management),Course Detail(BM018E : Strategic Approach to Operational Risk Management)                                                                                                                                              .site-header .inverted {                     position: fixed !important;             
https://academy.smu.edu.sg/graduate-certificate-strategic-digital-transformation-finance-module-5-it-risks-governance-and-3026,"Strategic Digital Transformation in Finance Module 5: IT Risks, Governance and Security Essentials | SMU Academy","<iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-P2K7ZX6""                   height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe>                                                                                                                                               "
https://elearn.iras.gov.sg/gst/overviewofgst/,IRAS | Overview of GST,Skip to main content             A Singapore Government Agency Website How to identify     Official website links end with .gov.sg Government agencies communicate via .gov.sg websites  (e.g. go.gov.sg/open). Trusted websites    Secure websites use HTTPS Look for a lock () or https:// as an added pre
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TPXlAAO&_ga=2.20119679.696591408.1671007708-1149870743.1670913560,Course Detail(TAX003i : Taxation for Accountants),Course Detail(TAX003i : Taxation for Accountants)                                                                                                                                              .site-header .inverted {                     position: fixed !important;                     top: 0 !importan
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTF3AAO&_ga=2.125231882.1626425500.1670914557-1149870743.1670913560,Course Detail(TAX005v : Goods and Services Tax Workshop (Synchronous e-learning)),Course Detail(TAX005v : Goods and Services Tax Workshop (Synchronous e-learning))                                                                                                                                              .site-header .inverted {                     position: fixed !important;     
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TPXlAAO&_ga=2.20119679.696591408.1671007708-1149870743.1670913560,Course Detail(TAX003i : Taxation for Accountants),Course Detail(TAX003i : Taxation for Accountants)                                                                                                                                              .site-header .inverted {                     position: fixed !important;                     top: 0 !importan
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTEYAA4,Course Detail(TAX227v : GST on Imported Services (Live Webinar)),Course Detail(TAX227v : GST on Imported Services (Live Webinar))                                                                                                                                              .site-header .inverted {                     position: fixed !important;                     t
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTEkAAO,Course Detail(TAX250v : GST: Understanding Input Tax Recovery Rules (Live Webinar)),Course Detail(TAX250v : GST: Understanding Input Tax Recovery Rules (Live Webinar))                                                                                                                                              .site-header .inverted {                     position: fixed !important;   
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTERAA4&_ga=2.259070728.309906157.1739849535-975892733.1738335351,Course Detail(),Course Detail()                                                                                                                                              .site-header .inverted {                     position: fixed !important;                     top: 0 !important;                     z-index: 10
https://cchlearning.com.sg/catalogue/826-a-practical-guide-to-gst-input-tax-recovery-rules-getting-your-input-tax-claims-right-and-avoiding-the-common-pitfalls/,Error,"Page.goto: net::ERR_CERT_DATE_INVALID at https://cchlearning.com.sg/catalogue/826-a-practical-guide-to-gst-input-tax-recovery-rules-getting-your-input-tax-claims-right-and-avoiding-the-common-pitfalls/
Call log:
  - navigating to ""https://cchlearning.com.sg/catalogue/826-a-practical-guide-to-gst-input-tax-recovery-rules-getting-your-input-tax-claims-right-and-avoiding-the-common-pitfalls/"", waiting until ""load""
"
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTF2AAO,Error,"Page.goto: Navigation to ""https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTF2AAO"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g2t000000TTF2AAO"", waiting until ""load""
"
